"","Mean profit","Profit SD","Revenue SD"
"Access","","",""
"   Easy Access","-0.17","0.48","0.59"
"   Medium Access","0.25","0.48","0.6"
"   Hard Access","-0.01","0.51","0.63"
"Synchrony","","",""
"   Asynchronous","0.26","0.44","0.53"
"   Independent","0.25","0.48","0.6"
"   Synchronous","0.25","0.53","0.66"
"Synchrony & Access","","",""
"   Asynchronous Easy Access","-0.17","0.43","0.51"
"   Synchronous Easy Access","-0.17","0.53","0.67"
"   Asynchronous Hard Access","-0.01","0.47","0.57"
"   Synchronous Hard Access","-0.01","0.55","0.69"
